"2,2,x3/12,21,1,1,2/1,112C,1,1,x/x,121,2,x2/1,x,2,x2 2 14",c4<,2016-05-04,766,27
"1,x2,2,2/1,x,2,2,x/1,2,21C,22121,121/2C,2,12,2,1/x,1,x3 1 19",b2,2017-01-08,127914,36
"1,2,x2,2/1,1,1,x2/2C,2,1C,x2/x5/x5 2 5",c1,2016-11-10,108948,9
"x5/x2,1,x,1/x2,1,x2/1,2112,x,2C,2/1C,2,2,2,1 1 10",a5>,2016-11-07,108064,18
"221C,x,2,x,2/21,2,1,x2/x,2S,1,1,1/x,12C,1,1,1/1,2,2,2,1 2 14",c1+,2016-12-11,120236,27
"x3,1,x/x2,1,1,x/x2,2C,11C,2/x,2,2,x,112/2,x2,2,1 1 10",d4,2016-09-01,82873,18
"1,2,x3/1,2,1,x2/2,12C,2,2121,x/12,1C,1,1,2/1S,2,1,x2 2 14",c3>,2016-09-01,82879,27
"2,x3,1/x4,1/2,x2,2C,2/2,x,1C,x,12121/x3,1,x 1 10",e5,2016-11-14,111013,18
"1,x,1,2,x/x,1,12C,x2/x2,211C,2,x/x,2,2,2,1/x,2,x3 1 10",3c3+,2016-08-22,79578,18
"x5/x5/1C,2C,x3/2,1,2,x2/2,x,1,1,1 2 5",d4,2017-01-29,146857,9
"1C,x,2,2,2/x,21S,x,112112C,x/2,x,1S,1221,11/2,11112S,x,21,x/2,x,1,1,1 1 37",3d3>,2017-01-24,140608,72
"x2,2,1,2/x2,1,2,x/x5/x5/x,2C,1,1,1 2 5",b4,2017-01-11,128924,9
"1,112S,1,1,1/x,2,x,11,1/x2,21,2212C,x/2,x,2221S,21C,x/x,2,1,2,2 2 23",3d3-12,2016-12-14,121226,45
"x,1121,2S,21,1/x3,2,2/x,1,1C,1,21211112C/x,1,x,2,2/x4,2 1 19",b5,2016-11-11,109361,36
"x4,2/x,2,1C,21,1/x,1,2,12,2/x2,2,1,x/x2,2C,1,1 1 10",a2,2017-01-12,129205,18
"x,2,2,1,1/x,2,2C,1,1/12,1,1C,2S,1/2,1,2,12,2/1,1,1,1,2 2 14",a4>,2017-02-07,151455,27
"x,1112S,1,1,1/2,1,1111221S,x,2/x,2,2S,2,2/2,2,221C,112C,x/2,1,1,2,1 1 28",5c2<14,2016-10-27,104648,54
"2,1C,1,2,1/x,1,x,12,2/x,1,x,12C,1/x3,1,2/x3,2,x 1 10",c1>,2017-01-06,127156,18
"1,1,x3/x5/2S,12,1,1,x/21,2,1,x2/1C,2C,2,2,2 1 10",b2,2016-12-06,118498,18
"2,2,21S,x2/x,1,1212,x2/x,1,22C,x2/x,1C,x,2,x/1,1,x,112112,1 1 19",2c1+,2016-12-10,119954,36
"2,2,21S,x2/x2,21112C,1,2/x,1,x,2,x/1,1C,1,x2/1,2,1,2,x 2 14",b2,2016-12-16,122007,27
"2,2,x3/x5/x5/x2,1,x2/1,1,12C,1,x 2 5",c1,2016-11-07,108134,9
"x3,1,x/2,2,x,21112C,2/x,1,1,x,1/x5/2,x3,1 1 10",Cc2,2016-06-09,50045,18
"x3,12C,1/x,21,21,2,1S/x2,1C,x,2/x3,121221,x/x4,2 2 14",e4,2017-01-08,127968,27
"x,212,x3/2,12111112S,1,1C,x/1,2,x,1,x/x,2,2S,1,1/1,2C,1,2S,2 1 19",c3,2016-11-11,109521,36
"2,x4/x5/1,x,2,x2/x,21,x,1C,1/1,22112C,x3 1 10",a4,2017-02-03,149137,18
"2,x4/x5/x,2,x3/121C,x,2C,x2/x,1212,1,1,1 1 10",c5<,2016-12-11,120245,18
"2,x,1,111112C,x/2,2,221C,12,2221/x2,2S,1S,x/x3,22,x/1,1,1,211,1112221S 2 32",Se4,2016-11-10,108933,63
"2,2,1,x2/2,1,1,x2/x,2,1,x2/x5/1,x4 2 5",c4,2016-06-06,47376,9
"1,x4/x,1,x2,1/x5/x,2C,1,x2/x,1,2,2,2 2 5",d4,2016-10-26,104331,9
"x2,2,2,2/x2,1221C,12C,21/x2,2,2,1S/1,1,1,1,2/1,x2,1,2 2 14",b1,2016-12-03,117318,27
"x,1,2,12,x/21,2,1112C,21C,2/x,121,x3/1,x,112S,1,x/x3,1,x 1 19",a3,2016-07-03,62186,36
"1,x4/x,1,x,2,x/x,1C,x,2,2/12,1,21,2,x/2,2112C,x,21S,x 2 14",4b5-,2016-09-29,95642,27
"1,1,1,1,2/2,x4/1,2,2,x2/1,1,12C,x2/2,2,1C,x,2 1 10",e2,2016-12-30,125588,18
"1,1,x2,2/2,1C,1,x,2/1S,2112C,211,21222,21S/x2,2,2,12/x,1,x3 2 23",2d3-11,2016-12-11,120291,45
"2,x,1,2,x/x2,1C,1,x/x2,2C,2,x/x,1,x3/1,x4 2 5",b3,2016-11-07,108057,9
"x3,1,1/x,2,1,1,x/1,12,12S,x2/x,1,2221C,2C,2/2,x,21,x2 2 14",a2,2016-11-05,107393,27
"2,12,x2,1/2,112,1S,x,1/1121S,122112C,1112,121,x/1,1S,2,21,x/2,2,221C,2,x 1 37",c2+,2016-11-07,107974,72
"x3,1,2/x2,2,21C,2/x,2112C,x2,1/x,12,1,1,1/1,x,12S,2,1 2 14",e1<,2016-12-09,119594,27
"x,2,1,1,1/x,2,2,2C,1/x2,12,1,2/x,1C,x,1,x/x2,2,1,2 1 10",c4,2017-01-31,147750,18
"x4,1/x3,1,x/x2,1,x2/x,1,x3/2,1,2,2,2 2 5",Cc4,2016-07-22,70177,9
"1,x3,2/1,2S,x2,2/12C,121C,1,1,2/x3,2,1/x5 1 10",a4,2017-01-14,133136,18
"2,x,2,x,1/1S,x,1,2,1/2,x,1,1C,1/2212C,x4/112,21,x3 2 14",4a4>112,2017-01-10,128456,27
"x5/x3,1,x/x2,2C,1,1C/x2,2,1,2/1,x3,2 2 5",d5,2016-12-05,118451,9
"x,1,1,12C,1/x,1,2,2,x/x,12,21C,2,x/x5/x,1,x2,2 1 10",d4,2017-02-18,155527,18
"2,1,x3/2,1,12C,2,2/x2,1221C,2,x/x,1,1,1,x/1,x,1,12,1 2 14",a1>,2016-11-16,111772,27
"2,2,1,1,1/x,1,1,2C,x/x2,2,x2/x5/x5 2 5",c3-,2017-01-29,146417,9
"x,1,21C,2,1/1,1,x,112C,x/x5/x,2,2,2,x/x4,2 1 10",a4,2016-11-04,107136,18
"x,212,x,1,1/1C,11212C,x3/21,1S,22111212,2,1/2S,x,2,x2/1,x3,2 2 23",5c3-32,2017-01-30,147518,45
"1,x,1,2,2/1,1,12,2,2/x,221C,2121212C,1,2/2,21,21S,1,1/2,x,1,x,1 2 23",Sb5,2017-01-04,126761,45
"2,12,21C,2,21/1,1121,1,2,21/1,x,2,11112C,2/2,x2,121,x/x4,1 2 23",2b1+,2016-12-26,124534,45
"12S,12,2,x2/x,21,2C,2,1C/x,1,2,2,x/x,1,12,21112S,2/1,1,1,x,1121212 1 28",b3>,2017-01-04,126756,54
"x,2,1,x,1/x,2C,1,x2/x,1,1C,x2/x5/x,2,x2,2 2 5",a3,2017-01-27,141893,9
"2,x,1,x,1/2,x,1,x2/2,2,1,x2/2C,x,12,2,x/1C,21,1,x2 1 10",d5,2017-02-09,152663,18
"1,2,1,2,2/x,2,1C,x2/x2,1,x2/x2,1,x2/x5 2 5",c5,2016-07-30,71972,9
"x,2112C,2,1,2/x,1,1,21,x/1,21C,2,2,x/x,2,x3/x,2,x2,1 2 14",4b1+,2016-11-07,108260,27
"x4,2/x5/x3,2C,x/x2,2,1,1C/1,x,1,1,2 2 5",d3+,2017-01-08,127945,9
"2,x2,2221,21221S/1C,2,2,x2/221112C,1S,x,2,2/2,1,1,1,x/2,1,x,1,1 2 23",c1,2016-12-02,117232,45
"1,1112121S,x,2,1/2,1S,2,2,2/2,x,21,1S,1S/2,1,221C,12C,2/x2,21,x,2 2 23",a5,2017-01-04,126695,45
"1121,x4/21212,x4/121112C,x,1C,1,x/2,2,x3/2,2,x3 1 19",2a1+,2016-08-28,81203,36
"2,x,1,1,1/x2,112221C,x2/2,1,221,x2/2,2,21,x,2/1,1,2S,2C,1 1 19",5c2<14,2016-12-15,121381,36
"x,2S,x2,2/1212S,112C,2,2,x/1,x,21C,1,x/1,1,x3/1,x4 2 14",e2,2016-07-07,64477,27
"11C,1S,x3/x,222C,x,1,x/2,1,x,1,x/2,2,x,1,x/2,x3,1 1 10",d5,2016-12-10,120089,18
"21,21,2,x,1/x2,112C,1,1/2121S,2221C,1,12S,x/2,x,12,2,x/x,121S,x,2,x 1 28",b4,2016-12-16,122017,54
"2,x2,2,1/x,1,1,1,1/x3,2C,2/x5/x5 2 5",d1+,2016-08-01,72530,9
"1,1,1,x,2/1,112,2,12,x/2C,2,1C,1,x/x5/x5 1 10",c3-,2016-11-13,110548,18
"2,x2,1,1/2,2,21,x2/x2,12,12C,2/x,1,1,1C,x/x5 1 10",2c2+,2016-12-30,125597,18
"1,2,2,x,2/1,x4/12,1C,12C,x2/x,12,1,1,1/x5 1 10",a4,2017-02-09,152312,18
"x5/x3,2,x/x,1,1C,2,2C/1,1,2,12,1/1,12,2,x,1 1 10",c3+,2016-12-10,119958,18
"2,x,12,x2/x,2,1,x2/x,1,1212,x2/x,1C,x3/1,1,2C,x2 1 10",b3>,2016-12-11,120267,18
"x,21,11112C,1,x/1,1C,112,1,x/x3,2,x/x,1,2,2,x/2,112,x,1S,2 1 19",b2>,2016-11-12,110192,36
"2,1,1,12C,1/12,1,1C,x2/1,2,1,x2/x5/x,2,x,2,2 1 10",d2,2016-10-29,105459,18
"1,x2,1,221/112C,1212,12,1,1/x,21,1C,1,2/x,2,12,112,x/x2,2S,x2 2 23",a3,2016-06-21,57110,45
"x,2,1,1,1/x2,2C,1,x/x2,12,2,1/x,221,1,21C,x/1,2,2,2,2 2 14",b5-,2017-01-15,134232,27
"2,x,2,1,1/x,2,1,x2/x,2C,1,x2/x2,1C,x2/x5 2 5",d2,2016-10-27,104772,9
"2,2,1,x2/x,1C,2C,x2/x,1,2,x2/x,1,x3/1,x4 2 5",Sa4,2016-09-26,94094,9
"221,2,2,2,2/221,21S,2,x,2/221S,x,112C,x,1/21,1,122121C,2S,1/1,121,1,12S,1 2 32",b1<,2016-11-11,109374,63
"x2,1,2,1/x2,1,2,x/x,1,1,x2/x2,2C,x2/x4,2 2 5",d3,2016-11-15,111420,9
"2S,1,x,2,x/1,2,x,2,2/1221S,x,2C,1,2/1,11C,x2,21S/1,x3,2 2 14",c3<,2016-10-05,97929,27
"2,x4/1C,2C,x,1,x/2,1,11,1,x/2,2,12S,x2/2,x,1,x,1 1 10",d1,2016-11-06,107784,18
"x2,1,2,1/x,2C,1,1C,x/x,2,2,1,x/1,2,1,1,x/1,2,2,2,2 1 10",a4>,2016-12-10,120047,18
"2,1,1C,2,x/x,12,2,x2/x,1,x,12,x/x,1,x,2,x/1,1,1,2C,x 1 10",Sd2,2016-12-11,120302,18
"2,x,2121,x,2/x2,1,221,x/x,12S,2,x,212C/x,1,1,2S,21C/1,1,x2,12 1 19",b2,2017-01-12,129537,36
"x2,1,2,1/x2,2,112C,1C/x,2,1,1,1/x3,2,1/x3,2,2 1 10",e4+,2016-11-09,108731,18
"21,1C,x3/x2,2,x2/x,12,2,x2/x,112,2,2,x/x,1,1,x2 1 10",e4,2016-05-05,490,18
"2,x3,1/x3,1,1/x2,2,1,2C/x2,2,x,1/x5 2 5",c2,2016-12-10,119967,9
